Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Badentoul,0.5,onshore,,e-Gen Partners Ltd,Pensions Infrastructure Platform Ltd (100%),Enercon,Enercon E44,1,0.5,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,"Fordyce, Bannf, AB45 2YX",,Aberdeenshire Council,APP/2012/0611,57.6489,-2.73833,NJ 56030 62349,45,67,44,Operational,Fully Commissioned,Consented,15-May-15,,0.5 years after abandonment,,,,,,,,,"15/05/2015 Fully Commissioned ;
01/05/2014 Under construction [estimate] ;
15/11/2012 Approved ;
28/02/2012 Submitted (LPA)",28-Feb-12,(LPA) ,15-Nov-12,Approved (LPA) ,,,01-May-14,Under construction [Estimate],15-May-15,,,,25-Nov-16,PiP (Pensions Infrastructure Platform) has acquired the project from Golden Square Energy.,RenewableUK comment
Badger Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E53,1,0.5,Horizontal axis turbine,England,Staffordshire,West Midlands,"S of Hademore House Bridge, Fisherwick Road, Lichfield",,Lichfield District Council,13/00555/FUL,52.6708,-1.74861,SK 17097 08151,60,86.5,53,Consented,Approved on appeal,Consented,16-Sep-14,16-Sep-17,25 years after fully commissioned,,,,,,,,,"16/09/2014 Approved on appeal ;
08/10/2013 On appeal ;
22/08/2013 Refused ;
29/05/2013 Submitted (LPA)",29-May-13,(LPA) ,22-Aug-13,Refused (LPA) ,16-Sep-14,Approved on appeal ,,,,,,,,,
Badworthy Farm,0.5,onshore,,Temporis Wind Ltd,Temporis Wind Ltd (100%),,,1,0.5,,England,Devon,South West,"Shebbear, Beaworthy",,Torridge District Council,1/1138/2013/FUL,50.8944,-4.21972,SS 43990 12894,,77,,Refused,Refused,Refused,05-Mar-15,,,,,,,,,,,"05/03/2015 Refused ;
16/12/2013 Submitted (LPA)",16-Dec-13,(LPA) ,05-Mar-15,Refused (LPA) ,,,,,,,,,,,
Baglan Bay,4.5,onshore,,EnergyTech,EnergyTech (100%),Enercon,Enercon E112,1,4,Horizontal axis turbine,Wales,Neath Port Talbot,South Wales,Port Talbot,,Neath Port Talbot Council,P2003/0749,51.6161,-3.81833,SS 74203 92375,,181,,Refused,Refused on appeal,Refused,28-Apr-04,,,,,,,,,,,"28/04/2004 Refused on appeal ;
26/11/2003 On appeal ;
11/11/2003 Refused ;
21/05/2003 Submitted (LPA)",21-May-03,(LPA) ,11-Nov-03,Refused (LPA) ,28-Apr-04,Refused on appeal ,,,,,,,,,
Bagmoor,16,onshore,,Ridgewind Ltd,Munich Re (100%),Senvion,Senvion MM92,8,2,Horizontal axis turbine,England,Lincolnshire,East Midlands,"Dragonby, Scunthorpe, Skegness",,North Lincolnshire Council,WF/2005/0067,53.6272,-0.64144,SE 89944 15376,80,125,90,Operational,Fully Commissioned,Consented,05-Aug-09,,Specific date,01-Mar-33,,,,,,,,"05/08/2009 Fully Commissioned ;
02/04/2009 Under construction ;
08/06/2006 Approved ;
17/01/2005 Submitted (LPA)",17-Jan-05,(LPA) ,08-Jun-06,Approved (LPA) ,,,02-Apr-09,Under construction ,05-Aug-09,,,,10-Aug-12,Munich Re has acquired the project.,RenewableUK comment
Bagot's Park (Resubmission),18.4,onshore,,Airtricity (SSE),Airtricity (SSE) (100%),Senvion,Senvion MM82,8,2.3,Horizontal axis turbine,England,Staffordshire,West Midlands,Uttoxeter,,East Staffordshire BC,PA/26905/010/JI,52.8403,-1.87917,SK 08236 26983,70,110,80,Refused,Refused,Refused,01-Apr-11,,,,,,,,,,,"01/04/2011 Refused ;
16/01/2008 Submitted (LPA)",16-Jan-08,(LPA) ,01-Apr-11,Refused (LPA) ,,,,,,,,Bagot's Park,,,
Baile an Truseil,0.9,onshore,,Urras Oighreachd Ghabhsainn (Galson Estate Trust),Urras Oighreachd Ghabhsainn (Galson Estate Trust) (100%),Enercon,Enercon E44,1,0.9,Horizontal axis turbine,Scotland,Western Isles,Scotland,"Galson Estate, Stornoway, Isle of Lewis",,Western Isles / Comhairle nan Eilan Siar,08/00407/FUL,58.3808,-6.49583,NB 37295 52385,45,67,44,Operational,Fully Commissioned,Consented,13-Sep-13,,,,,,,,,,,"13/09/2013 Fully Commissioned ;
27/06/2013 Under construction ;
15/09/2010 Approved ;
29/08/2008 Submitted (LPA)",29-Aug-08,(LPA) ,15-Sep-10,Approved (LPA) ,,,27-Jun-13,Under construction ,13-Sep-13,,,,,,
Bailey Waste,0.225,onshore,,Canavan Associates Ltd,Landowner (private or company) (100%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"190m southeast of Bailey Waste, Dunamallaght Road, Ballycastle",,Causeway Coast & Glens Borough Council,E/2010/0322/F,55.1902,-6.24119,NW 30159 96650,31.5,45,27,Operational,Fully Commissioned,Consented,01-Oct-14,,,,,,,,,,,"01/10/2014 Fully Commissioned ;
01/05/2014 Under construction [estimate] ;
02/01/2013 Approved ;
12/11/2010 Submitted (LPA)",12-Nov-10,(LPA) ,02-Jan-13,Approved (LPA) ,,,01-May-14,Under construction [Estimate],01-Oct-14,,,,,,
Bailey Waste Turbine 2,0.225,onshore,,Bailey Waste,Bailey Waste (100%),,,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,"Dunamallaght Road, Ballycastle",,Causeway Coast & Glens Borough Council,E/2014/0222/F,55.1917,-6.24333,NW 30032 96821,32,45,,Refused,Refused,Refused,02-Apr-15,,,,,,,,,,,"02/04/2015 Refused ;
05/11/2014 Submitted (LPA)",05-Nov-14,(LPA) ,02-Apr-15,Refused (LPA) ,,,,,,,,,,,
Bailiesward Farm,0.8,onshore,,Sule Energy Ltd,Landowner (private or company) (100%),Enercon,Enercon E48,1,0.8,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,"Longhill, Huntly",,Aberdeenshire Council,APP/2012/4139,57.4247,-2.88167,NJ 47150 37493,56,80,48,Consented,Approved,Consented,16-Sep-13,16-Sep-15,1 years after abandonment,,,,,,,,,"16/09/2013 Approved ;
19/12/2012 Submitted (LPA) ;
12/09/2012 Development",19-Dec-12,(LPA) ,16-Sep-13,Approved (LPA) ,,,,,,,,,,,
