Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
"Longmore Road, 98",0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,"240m North of 98 Longmore Road, Broughshane",,Mid and East Antrim Borough Council,G/2010/0475/F,54.938,-6.17628,NW 32609 68355,,,,Consented,Approved,Consented,23-Mar-12,23-Mar-17,1 years after abandonment,,,,,,,,,"23/03/2012 Approved ;
21/07/2010 Submitted (LPA)",21-Jul-10,(LPA) ,23-Mar-12,Approved (LPA) ,,,,,,,,,,,
Longpark,38,onshore,,Wind Prospect Ltd,EDF Renewables (51%); Dalmore Capital Ltd (36.75%); Pensions Infrastructure Platform Ltd (12.25%),Senvion,Senvion MM82,19,2,Horizontal axis turbine,Scotland,Scottish Borders,Scotland,"Halkburn Farm, Galashiels",,Scottish Borders Council,04/00317/FUL,55.6731,-2.83639,NT 47494 42495,69,110,82,Operational,Fully Commissioned,Consented,01-Nov-09,,,,,,,,,,,"01/11/2009 Fully Commissioned ;
10/10/2008 Under construction ;
01/07/2006 Approved on appeal ;
01/09/2005 On appeal ;
31/08/2005 Refused ;
01/08/2004 Submitted (LPA)",01-Aug-04,(LPA) ,31-Aug-05,Refused (LPA) ,01-Jul-06,Approved on appeal ,10-Oct-08,Under construction ,01-Nov-09,,,,29-Jun-18,EDF Renewables has signed a new partnership in twenty four UK wind farms with Dalmore Capital Limited and Pensions Infrastructure Platform. EDF Renewables will continue to own a 51% share in the portfolio of wind farms.The cash proceeds to EDF at close for the 49% stake are £701 million.,https://www.edfenergy.com/media-centre/news-releases/edf-renewables-signs-new-partnership-twenty-four-uk-wind-farms
Lordscairnie Farm,0.1,onshore,,Lomond Energy,Constantine Wind Energy Ltd (100%),Northern Power Systems,NPS100-24,1,0.1,Horizontal axis turbine,Scotland,Fife,Scotland,"Lordscairnie, Cairnie, Cupar",,Fife Council,11/04428/FULL,56.3559,-3.04491,NO 35529 18664,30.1,42.3,24.4,Operational,Fully Commissioned,Consented,04-Dec-14,,0.5 years after abandonment,,,,,,,,,"04/12/2014 Fully Commissioned ;
10/03/2014 Under construction ;
20/04/2012 Approved ;
26/08/2011 Submitted (LPA)",26-Aug-11,(LPA) ,20-Apr-12,Approved (LPA) ,,,10-Mar-14,Under construction ,04-Dec-14,,,,26-Apr-17,Fife council has approved a request to vary a condition relating to noise limits at Lordscairnie Farm.,17/00498/FULL (Planning reference)
Lordscairnie Farm Turbine 2,0.1,onshore,,Constantine Wind Energy Ltd,Constantine Wind Energy Ltd (100%),Northern Power Systems,NPS100-24,1,0.1,Horizontal axis turbine,Scotland,Fife,Scotland,"Lordscairnie, Cairnie, Cupar",,Fife Council,14/00784/FULL,56.3566,-3.0462,NO 35451 18746,30.1,23.6,41.8,Operational,Fully Commissioned,Consented,17-Mar-15,,25 years after fully commissioned,17-Mar-40,,,,,,,,"17/03/2015 Fully Commissioned ;
19/01/2015 Under construction ;
07/10/2014 Approved ;
07/03/2014 Submitted (LPA)",07-Mar-14,(LPA) ,07-Oct-14,Approved (LPA) ,,,19-Jan-15,Under construction ,17-Mar-15,,,,26-Apr-17,An application to vary conditions with relation to noise limits has been approved by Fife Council.,17/00513/FULL (Planning reference)
Lorg,32.4,onshore,,E.ON Climate & Renewables UK Ltd,E.ON Climate & Renewables UK Ltd (100%),,,9,3.6,,Scotland,Dumfries & Galloway,Scotland,12km SW of Sanquhar,,Dumfries & Galloway Council,15/P/2/0337,55.2833,-4.10917,NS 66137 00824,,130,,Consented,Approved,Consented,18-Jul-19,17-Jul-24,25 years after fully commissioned,,,,,,,,,"18/07/2019 Approved ;
07/12/2015 Submitted (LPA) ;
12/08/2015 Development",07-Dec-15,(LPA) ,18-Jul-19,Approved (LPA) ,,,,,,,,,08-Aug-19,"E.on has submitted a Section 42 variance request to modify the design of Lorg wind farm following its consent in July 2019. The new proposal would seek to raise the tip height of 6 turbines from 130m to 149.9m, the maximum rotor diameter of all 9 turbines up to 133m and increase the operational lifetime of the wind farm from 25 to 30 years.",19/1293/FUL (Planning reference)
Loscar Farm,4.5,onshore,,REG Windpower Ltd,BlackRock (100%),Acciona,Acciona AW 70/1500,3,1.5,Horizontal axis turbine,England,South Yorkshire,Yorkshire & Humber,"nr Harthill, Rotherham",,Rotherham Metropolitan Borough Council,RB2004/2206,53.3157,-1.23666,SK 50952 80139,60,95,70,Operational,Fully Commissioned,Consented,21-Dec-10,,25 years after first generation,05-Oct-35,,,,,,,,"21/12/2010 Fully Commissioned [estimate] ;
05/10/2010 Partial Operation ;
06/05/2010 Under construction ;
30/06/2008 Approved ;
02/11/2004 Submitted (LPA)",02-Nov-04,(LPA) ,30-Jun-08,Approved (LPA) ,,,06-May-10,Under construction ,21-Dec-10,[Estimate],,,21-Apr-16,Rotherham Metropolitan Borough Council has granted permission for the wind farm to operate for a period of 25 years from first generation which regularises the consent to the original application.,RenewableUK comment
Losk Lane,5,onshore,,Banks Renewables Ltd,Banks Renewables Ltd (100%),,,2,2.5,,England,Derbyshire,East Midlands,Near Bolsover and Palterton,,Bolsover District Council,10/00463/FULEA,53.2017,-1.27667,SK 48415 67425,80,125,90,Refused,Refused,Refused,04-Feb-13,,,,,,,,,,,"04/02/2013 Refused ;
01/10/2010 Submitted (LPA)",01-Oct-10,(LPA) ,04-Feb-13,Refused (LPA) ,,,,,,,,,,,
Lotus Cars,6,onshore,,Ecotricity Group Ltd,Ecotricity Group Ltd (100%),Enercon,Enercon E82,3,2,Horizontal axis turbine,England,Norfolk,East of England,Hethel Site,,South Norfolk Council,2007/1427,52.5642,1.18361,TG 15873 01025,78,119,82,Refused,Refused,Refused,15-Nov-07,,,,,,,,,,,"15/11/2007 Refused ;
28/06/2007 Submitted (LPA)",28-Jun-07,(LPA) ,15-Nov-07,Refused (LPA) ,,,,,,,Lotus Cars (Resubmission),,,,
Lough Hill (Resubmission),7.8,onshore,,B9 Energy Group; Renewable Energy Systems Ltd (RES),The Renewables Infrastructure Group Ltd (TRIG) (100%),Siemens,SWT-1.3-62,6,1.3,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,Drumquin,,Omagh District Council,K/2004/1139/F,54.6269,-7.60583,NV 38361 40202,49,80,62,Operational,Fully Commissioned,Consented,01-Jul-07,,,,,,,,,,,"01/07/2007 Fully Commissioned ;
01/11/2006 Under construction ;
30/11/2005 Approved ;
29/07/2004 Submitted (LPA)",29-Jul-04,(LPA) ,30-Nov-05,Approved (LPA) ,,,01-Nov-06,Under construction ,01-Jul-07,,,,31-Jul-13,The Renewables Infrastructure Group Ltd (TRIG) acquired the project in July 2013,RenewableUK comment
Lough Shore Road,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Fermanagh,Northern Ireland,Rossdagamph,,Enniskillen DC,L/2011/0993/F,54.4706,-8.04944,NV 08271 25221,32,45,29,Consented,Approved,Consented,25-Sep-12,,,,,,,,,,,"25/09/2012 Approved ;
22/12/2011 Submitted (LPA)",22-Dec-11,(LPA) ,25-Sep-12,Approved (LPA) ,,,,,,,,,,,
"Loughan Road, 22",0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Tyrone,Northern Ireland,"490m SW of 22 Loughan Road, Donemana, Strabane",,Derry City & Strabane District Council,J/2010/0076/F,54.8743,-7.28017,NV 61430 66056,30,,,Operational,Fully Commissioned,Consented,01-Feb-16,,,,,Replaced,"Loughan Road, 22 (Replacement) [Submitted (LPA), 1-May-2019, 0.225MW]",,,,,"01/02/2016 Fully Commissioned [estimate] ;
01/07/2015 Under construction [estimate] ;
19/10/2010 Approved ;
16/03/2010 Submitted (LPA)",16-Mar-10,(LPA) ,19-Oct-10,Approved (LPA) ,,,01-Jul-15,Under construction [Estimate],01-Feb-16,[Estimate],,,,,
Loughan's Road,0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,Ballygawley,,Mid Ulster District Council,M/2012/0645/F,54.4686,-6.95944,NV 78792 19466,42,57,,Consented,Approved,Consented,18-Mar-14,,,,,,,,,,,"18/03/2014 Approved ;
27/12/2012 Submitted (LPA)",27-Dec-12,(LPA) ,18-Mar-14,Approved (LPA) ,,,,,,,,,,,
"Loughdoo Road, 30",0.15,onshore,,Si Energy Ltd,Landowner (private or company) (100%),Vestas,Vestas V27,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"187m south east of 30 Loughdoo Road, Glenarm, Larne, BT44 0ED",,Mid and East Antrim Borough Council,F/2010/0208/F,54.8964,-5.9458,NW 47101 62873,31,44.5,27,Operational,Fully Commissioned,Consented,26-Apr-17,,,,,,,,,,,"26/04/2017 Fully Commissioned ;
01/11/2016 Under construction ;
05/07/2012 Approved ;
16/06/2010 Submitted (In Principle)",,,05-Jul-12,Approved  ,,,01-Nov-16,Under construction ,26-Apr-17,,,,,,
"Loughloughan Road, 14",0.25,onshore,,Wind NI Ltd,Resonance British Wind Energy Income (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"337m north west of 14 Loughloughan Road, Broughshane",,Mid and East Antrim Borough Council,G/2012/0171/F,54.9128,-6.16278,NW 33306 65503,53.5,73,39,Operational,Fully Commissioned,Consented,19-Dec-17,,1 years after abandonment,,,,,,,,,"19/12/2017 Fully Commissioned ;
01/08/2017 Under construction [estimate] ;
16/11/2012 Approved ;
30/04/2012 Submitted (LPA)",30-Apr-12,(LPA) ,16-Nov-12,Approved (LPA) ,,,01-Aug-17,Under construction [Estimate],19-Dec-17,,,,16-Aug-19,Resonance has acquired the project from Wind NI.,RenewableUK comment
"Loughmallon Road, 112",0.25,onshore,,TC Town Planning,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,"310m West of 112 Loughmallon Road, Cavankeeran, Pomeroy",,Omagh District Council,K/2012/0354/F,54.6106,-6.99083,NV 77882 35392,30,45,33,Consented,Approved,Consented,09-Jul-14,,,,,,,,,,,"09/07/2014 Approved ;
28/06/2012 Submitted (LPA)",28-Jun-12,(LPA) ,09-Jul-14,Approved (LPA) ,,,,,,,,,,,
"Loughmallon Road, 131",0.25,onshore,,RMP Renewables,RMP Renewables (100%),Vestas,Vestas V34,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"400m SW of 131 Loughmallon Road, Carrickmore",,Omagh District Council,K/2011/0427/F,54.6001,-6.97903,NV 78560 34167,30,47,34,Operational,Fully Commissioned,Consented,01-Apr-17,,1 years after abandonment,,,Replaced,"Loughmallon Road, 131 (Replacement) [Approved, 20-Nov-2018, 0.25MW]",,,,,"01/04/2017 Fully Commissioned [estimate] ;
01/08/2016 Under construction [estimate] ;
12/03/2012 Approved ;
04/07/2011 Submitted (LPA)",04-Jul-11,(LPA) ,12-Mar-12,Approved (LPA) ,,,01-Aug-16,Under construction [Estimate],01-Apr-17,[Estimate],,,,,
"Loughmallon Road, 131 (Replacement)",0.25,onshore,,RMP Renewables,RMP Renewables (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,"400m SW of 131 Loughmallon Road, Carrickmore",,Fermanagh & Omagh District Council,LA10/2018/0112/F,54.6248,-7.01631,NV 76351 37082,40,63.5,47,Consented,Approved,Consented,20-Nov-18,18-Nov-23,1 years after abandonment,,,,,Replaced,"Loughmallon Road, 131 [Fully Commissioned, 1-Apr-2017, 0.25MW]",,,"20/11/2018 Approved ;
30/01/2018 Submitted (LPA)",30-Jan-18,(LPA) ,20-Nov-18,Approved (LPA) ,,,,,,,,,30-Jan-18,"An application to replace an existing turbine at 131 Loughmallon Road, Carrickmore with a Vestas V47 has been submitted to Fermanagh & Omagh District Council",RenewableUK comment
"Loughmallon Road, 136",0.225,onshore,,Henry Murray Architecture,Landowner (private or company) (100%),Vestas,Vestas V29,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"260m North West of 136 Loughmallon Road, Pomeroy",,Omagh District Council,K/2011/0170/F,54.6065,-6.97009,NV 79188 34839,40,54.5,29,Operational,Fully Commissioned,Consented,15-Jul-19,,Not specified,,,,,,,,,"15/07/2019 Fully Commissioned [estimate] ;
01/07/2016 Under construction [estimate] ;
27/07/2011 Approved ;
18/03/2011 Submitted (LPA)",18-Mar-11,(LPA) ,27-Jul-11,Approved (LPA) ,,,01-Jul-16,Under construction [Estimate],15-Jul-19,[Estimate],,,,,
"Loughmallon Road, 17",0.225,onshore,,CD Consulting,Ash Renewables Ltd (100%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"Lands 158m east of 17 Loughmallon Road, Greggan, Pomeroy, BT79 9BR",,Omagh District Council,K/2013/0160/F,54.6417,-7.02252,NV 76086 38991,32,45.5,27,Operational,Fully Commissioned,Consented,05-Dec-17,,25 years after fully commissioned,05-Dec-42,,,,,,,,"05/12/2017 Fully Commissioned ;
01/08/2017 Under construction [estimate] ;
06/12/2013 Approved ;
08/04/2013 Submitted (LPA)",08-Apr-13,(LPA) ,06-Dec-13,Approved (LPA) ,,,01-Aug-17,Under construction [Estimate],05-Dec-17,,,,,,
"Loughmourne Road, 43",0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"429m North West of 43 Loughmourne Road, Loughmourne, Carrickfergus, BT38 9AW",,Mid and East Antrim Borough Council,V/2011/0080/F,54.7688,-5.83144,NW 53653 48273,46,61,30,Operational,Fully Commissioned,Consented,01-Sep-17,,25 years after fully commissioned,01-Sep-42,,,,,,,,"01/09/2017 Fully Commissioned ;
01/05/2015 Under construction [estimate] ;
08/08/2012 Approved ;
02/06/2011 Submitted (LPA)",02-Jun-11,(LPA) ,08-Aug-12,Approved (LPA) ,,,01-May-15,Under construction [Estimate],01-Sep-17,,,,,,
Loughside Quarry,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,"Belfast Road, Larne",,DOE Strategic Planning Division,,54.8117,-5.88611,NW 50403 53241,,45,,Consented,Approved,Consented,16-Mar-12,,,,,,,,,,,"16/03/2012 Approved ;
22/04/2011 Submitted (LPA)",22-Apr-11,(LPA) ,16-Mar-12,Approved (LPA) ,,,,,,,,,,,
"Loup Road, 36",0.25,onshore,,2020 Architects,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Londonderry,Northern Ireland,"465m NW of 36 Loup Road, Moneymore, BT45 7SS",,Mid Ulster District Council,I/2012/0174/F,54.6982,-6.64247,NW 01001 43590,40,59.5,39,Operational,Fully Commissioned,Consented,29-Mar-17,,0.5 years after abandonment,,,,,,,,,"29/03/2017 Fully Commissioned ;
01/11/2016 Under construction [estimate] ;
30/09/2013 Approved ;
30/04/2012 Submitted (LPA)",30-Apr-12,(LPA) ,30-Sep-13,Approved (LPA) ,,,01-Nov-16,Under construction [Estimate],29-Mar-17,,,,12-Jan-16,An application to increased the permitted rotor size to 39m (from 29m) has been approved. LA09/2015/0269/F,RenewableUK comment
Louth Canal (Pickles Recovered),7.5,onshore,,Partnerships for Renewables Development Company Ltd,Partnerships for Renewables Development Company Ltd (100%),,,3,2.5,,England,Lincolnshire,East Midlands,"Fen Lane, North Thoresby",,East Lindsey District Council,N/133/00586/12,53.4808,0.001944,TA 32947 00096,78,113,,Refused,Refused on appeal,Refused,29-Aug-14,,,,,,,,,,,"29/08/2014 Refused on appeal ;
01/07/2013 On appeal ;
13/04/2013 Refused ;
26/03/2012 Submitted (LPA)",26-Mar-12,(LPA) ,13-Apr-13,Refused (LPA) ,29-Aug-14,Refused on appeal ,,,,,,,,,
Low Blackwood Yards Farm,0.5,onshore,,e-Gen Partners Ltd,e-Gen Partners Ltd (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,South Lanarkshire,Scotland,"Boghead, ML11 0JH",,South Lanarkshire Council,CL/12/0387,55.6683,-3.96172,NS 76710 43394,40,67,54,Consented,Approved,Consented,27-Aug-14,27-Aug-17,25 years after fully commissioned,,,,,,,,,"27/08/2014 Approved ;
31/07/2012 Submitted (LPA)",31-Jul-12,(LPA) ,27-Aug-14,Approved (LPA) ,,,,,,,,,,,
Low Bowhill Farm,0.5,onshore,,e-Gen Partners Ltd,Pensions Infrastructure Platform Ltd (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,East Ayrshire,Scotland,Newmilns,,East Ayrshire Council,12/0504/PP,55.627,-4.34443,NS 52486 39536,40,67,54,Operational,Fully Commissioned,Consented,09-Dec-14,,25 years after fully commissioned,09-Dec-39,,,,,,,,"09/12/2014 Fully Commissioned ;
23/06/2014 Under construction ;
09/11/2012 Approved ;
02/07/2012 Submitted (LPA)",02-Jul-12,(LPA) ,09-Nov-12,Approved (LPA) ,,,23-Jun-14,Under construction ,09-Dec-14,,,,25-Nov-16,PiP (Pensions Infrastructure Platform) has acquired the project from Golden Square Energy.,RenewableUK comment
Low Horton Farm,0.275,onshore,,ICE Renewables Ltd,Landowner (private or company) (100%),Vergnet,Vergnet GEV MP-R,1,0.275,Horizontal axis turbine,England,Northumberland,North East,"Blyth, NE24 4HG",,Northumberland County Council,11/02509/RENE,55.1116,-1.55366,NZ 28571 79779,55,71,32,Operational,Fully Commissioned,Consented,28-Nov-12,,25 years after fully commissioned,28-Nov-37,,,,,,,,"28/11/2012 Fully Commissioned ;
01/09/2012 Under construction [estimate] ;
23/12/2011 Approved ;
30/09/2011 Submitted (LPA)",30-Sep-11,(LPA) ,23-Dec-11,Approved (LPA) ,,,01-Sep-12,Under construction [Estimate],28-Nov-12,,,,,,
Low Lanrigg Farm,0.5,onshore,,Burcote Wind Ltd,Pensions Infrastructure Platform Ltd (100%),,,1,0.5,,Scotland,South Lanarkshire,Scotland,"Low Lanrigg Farm, Spital Road, Larkhall, ML9 3PS",,South Lanarkshire Council,HM/13/0018,55.6855,-3.96825,NS 76353 45319,44,70,52,Operational,Fully Commissioned,Consented,01-Sep-15,,,19-Dec-38,,,,,,,,"01/09/2015 Fully Commissioned ;
01/02/2015 Under construction [estimate] ;
19/12/2013 Approved ;
19/12/2012 Submitted (LPA)",19-Dec-12,(LPA) ,19-Dec-13,Approved (LPA) ,,,01-Feb-15,Under construction [Estimate],01-Sep-15,,,,25-Nov-16,PiP has acquired the project from Ingnious,RenewableUK comment
Low Spinney,8.2,onshore,,Infinis Energy Services Ltd,Ventient Energy Ltd (100%),Senvion,Senvion MM92,4,2.05,Horizontal axis turbine,England,Leicestershire,East Midlands,"between the villages of Dunton Bassett to the north west, Ashby Magna",,Harborough District Council,09/00174/FUL,52.4969,-1.17361,SP 56200 89098,80,125,92,Operational,Fully Commissioned,Consented,27-Sep-11,,25 years after first generation,22-Sep-36,,,,,,,,"27/09/2011 Fully Commissioned ;
22/09/2011 Partial Operation ;
18/10/2010 Under construction ;
29/03/2010 Approved on appeal [non-determination] ;
05/08/2009 On appeal [non-determination] ;
11/02/2009 Submitted (LPA)",11-Feb-09,(LPA) ,,Not determined ,29-Mar-10,Approved on appeal [Non determination],18-Oct-10,Under construction ,27-Sep-11,,,,26-Nov-17,"Ventient Energy Ltd., formed by combining the Zephyr portfolio of 15 wind farms with 19 wind farms that were formerly owned by Infinis, with the entire portfolio of wind farms and now owned by institutional investors advised by JP Morgan Asset Management, was officially launched on 26 November 2017.",https://www.ventientenergy.com/news-and-media/press-releases/2017/2017/november/uk%E2%80%99s-third-largest-wind-farm-owner-operator-launches-today-as-ventient-energy/
Low Whiteside Farm,0.33,onshore,,Caber Energy Ltd,Landowner (private or company) (100%),Enercon,Enercon E33,1,0.33,Horizontal axis turbine,Scotland,South Lanarkshire,Scotland,"Lesmahagow, ML11 0HL",,South Lanarkshire Council,CL/12/0224,55.6211,-3.92786,NS 78693 38078,37.3,54,33.4,Operational,Fully Commissioned,Consented,15-Feb-15,,25 years after fully commissioned,15-Feb-40,,,,,,,,"15/02/2015 Fully Commissioned [estimate] ;
01/07/2014 Under construction [estimate] ;
10/09/2013 Approved ;
23/04/2012 Submitted (LPA)",23-Apr-12,(LPA) ,10-Sep-13,Approved (LPA) ,,,01-Jul-14,Under construction [Estimate],15-Feb-15,[Estimate],,,,,
Lowca,4.62,onshore,,E.ON Climate & Renewables UK Ltd,E.ON Climate & Renewables UK Ltd (100%),Vestas,Vestas V47,7,0.66,Horizontal axis turbine,England,Cumbria,North West,Lowca,,Copeland Borough Council,4/98/0486/0,54.5928,-3.57583,NX 98277 23099,40,63.5,47,Operational,Fully Commissioned,Consented,01-Mar-00,,,,,,,,,,,"01/03/2000 Fully Commissioned ;
01/01/2000 Under construction ;
01/06/1996 Approved ;
01/01/1996 Submitted (LPA)",01-Jan-96,(LPA) ,01-Jun-96,Approved (LPA) ,,,01-Jan-00,Under construction ,01-Mar-00,,,,,,
Lowca Top Road,0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,England,Cumbria,North West,"Lowca, Whitehaven",,Copeland Borough Council,4/12/2557/0F1,54.5897,-3.56389,NX 99041 22737,,51,,Operational,Fully Commissioned,Consented,23-Apr-14,,,,,,,,,,,"23/04/2014 Fully Commissioned ;
01/02/2014 Under construction ;
20/11/2013 Approved ;
06/12/2012 Submitted (LPA)",06-Dec-12,(LPA) ,20-Nov-13,Approved (LPA) ,,,01-Feb-14,Under construction ,23-Apr-14,,,,,,
Lower Alt,42,onshore,,Coriolis Energy,Coriolis Energy (100%),,,12,3.5,,England,Lancashire,North West,"Cabin Lane, Great Altcar",,West Lancashire Borough Council,2015/1055/FUL,53.5328,-2.99222,SD 34331 04474,,137,,Refused,Refused,Refused,11-Nov-16,,,,,,,,,,,"11/11/2016 Refused ;
14/12/2015 Submitted (LPA)",14-Dec-15,(LPA) ,11-Nov-16,Refused (LPA) ,,,,,,,,,,,
Lower Aushaw Farm,0.5,onshore,,Viridis Wind Turbines (UK) Ltd,Viridis Wind Turbines (UK) Ltd (100%),,,1,0.5,,England,Lancashire,North West,"Roman Road, Eccleshill, Darwen",,Blackburn with Darwen Council,10/12/0318,53.6775,-2.41944,SD 72391 20197,,,,Refused,Refused,Refused,07-Jun-12,,,,,,,,,,,"07/06/2012 Refused ;
13/04/2012 Submitted (LPA)",13-Apr-12,(LPA) ,07-Jun-12,Refused (LPA) ,,,,,,,,,,,
Lower Cairny,1.6,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,2,0.8,,Scotland,Angus,Scotland,"Land 600M West Of Witton Farm, Lethnot Edzell",,Angus Council,14/00669/FULL,56.8195,-2.73022,NO 55524 70019,50,74,48,Consented,Approved on appeal,Consented,13-Jun-16,13-Jun-19,26 years after first generation,,,,,,,,,"13/06/2016 Approved on appeal ;
09/07/2015 On appeal ;
05/02/2015 Refused ;
08/08/2014 Submitted (LPA)",08-Aug-14,(LPA) ,05-Feb-15,Refused (LPA) ,13-Jun-16,Approved on appeal ,,,,,,,19-Apr-19,An application to vary the wording of conditions relating to mitigation measures and the construction traffic management plan for two turbines consented at Lower Cairny has been approved by Angus Council.,RenewableUK comment
Lower Cushnie,0.45,onshore,,1 Stop Renewables Ltd,Landowner (private or company) (100%),,,2,0.225,,Scotland,Aberdeenshire,Scotland,"Gamrie, Banff",,Aberdeenshire Council,APP/2011/0093,57.6481,-2.72806,NJ 56642 62253,32,47,,Refused,Refused,Refused,28-Mar-11,,,,,,,,,,,"28/03/2011 Refused ;
17/01/2011 Submitted (LPA)",17-Jan-11,(LPA) ,28-Mar-11,Refused (LPA) ,,,,,,,Lower Cushnie (Resubmission),,,,
Lower Cushnie (Resubmission),0.1,onshore,,1 Stop Renewables Ltd,Landowner (private or company) (100%),ESPE,FX EVO 21-100,1,0.1,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,"Gamrie, Banff",,Aberdeenshire Council,APP/2011/1076,57.6469,-2.34667,NJ 79406 61939,34.25,44.825,21,Consented,Approved,Consented,05-Nov-12,05-Nov-15,25 years after commencement of construction,,,,,,,,,"05/11/2012 Approved ;
04/04/2011 Submitted (LPA)",04-Apr-11,(LPA) ,05-Nov-12,Approved (LPA) ,,,,,,,,Lower Cushnie,,,
Lower Hanyards Farm,0.5,onshore,,Revolution NRG Ltd,Landowner (private or company) (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Staffordshire,West Midlands,"Hanyards Lane, Tixall, Stafford",,Stafford Borough Council,12/17009/FUL,52.8175,-2.05939,SJ 96094 24446,40,67,54,Operational,Fully Commissioned,Consented,27-Aug-14,,0.5 years after abandonment,,,,,,,,,"27/08/2014 Fully Commissioned ;
01/02/2014 Under construction [estimate] ;
04/06/2013 Approved on appeal ;
04/12/2012 On appeal ;
01/08/2012 Refused ;
01/05/2012 Submitted (LPA)",01-May-12,(LPA) ,01-Aug-12,Refused (LPA) ,04-Jun-13,Approved on appeal ,01-Feb-14,Under construction [Estimate],27-Aug-14,,,,15-Nov-13,A revised application for a single EWT turbine instead of two Vergnet 250k turbines has been approved by Stafford Borough Council.,RenewableUK comment
"Lower Kildress Road, 10",0.225,onshore,,Canavan Associates Ltd,Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Tyrone,Northern Ireland,"203m north west of no 10 Lower Kildress Road, Lower Kildress townland, Cookstown, BT80 9RN",,Mid Ulster District Council,I/2012/0461/F,54.644,-6.80206,NV 90314 38255,46,61,30,Operational,Fully Commissioned,Consented,01-Sep-16,,25 years after fully commissioned,01-Sep-41,,,,,,,,"01/09/2016 Fully Commissioned [estimate] ;
01/03/2016 Under construction [estimate] ;
04/11/2013 Approved ;
31/12/2012 Submitted (LPA)",31-Dec-12,(LPA) ,04-Nov-13,Approved (LPA) ,,,01-Mar-16,Under construction [Estimate],01-Sep-16,[Estimate],,,,,
Lower Lancarrow Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,England,Cornwall,South West,"Lancarrow, Four Lanes, Redruth",,Cornwall Council,PA13/08296,50.1928,-5.22333,SW 70030 37504,,77,,Refused,Refused,Refused,23-Dec-13,,,,,,,,,,,"23/12/2013 Refused ;
11/09/2013 Submitted (LPA)",11-Sep-13,(LPA) ,23-Dec-13,Refused (LPA) ,,,,,,,,,,,
Lower Litchardon Farm,0.5,onshore,,One Wind Renewables,Landowner (private or company) (100%),Enercon,Enercon E48,1,0.5,Horizontal axis turbine,England,Devon,South West,"Newton Tracey, Barnstaple",,North Devon Council,56756,51.0431,-4.12528,SS 51107 29233,55,79,48,Operational,Fully Commissioned,Consented,01-Sep-15,,,,,,,,,,,"01/09/2015 Fully Commissioned ;
01/05/2015 Under construction ;
03/06/2014 Approved ;
17/12/2013 Submitted (LPA)",17-Dec-13,(LPA) ,03-Jun-14,Approved (LPA) ,,,01-May-15,Under construction ,01-Sep-15,,,,,,
