Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Rheanbreck,4.3,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,4.3,,Scotland,Highland,Scotland,"Croft 61/65 And 66/69 Rheanbreck, 730m SE of Old Croft Cottage 71, Lairg, IV27 4DQ",,Highland Council,18/04344/SCRE,58.0049,-4.36402,NC 60396 04186,,135,,Development,Scoping Opinion Issued,10-Oct-18,,,,,,,,,,,"10/10/2018 Scoping Opinion Issued ;
10/09/2018 Scoping",,,,,,,,,,,,,10-Oct-18,The Highland Council has issued its scoping opinion for Cleanearth's proposed turbine at Rheanbreck.,RenewableUK comment
Rigghill,48,onshore,,Burcote Wind Ltd,Burcote Wind Ltd (50%); ERG S.P.A. (50%),,,12,4,,Scotland,North Ayrshire,Scotland,"Site To East Of Fardens, Skelmorlie",,North Ayrshire Council,19/00608/EIA,55.8646,-4.85734,NS 21292 67182,,149.9,,Development,Scoping Opinion Issued,17-Sep-19,,,,,,,,,,,"17/09/2019 Scoping Opinion Issued ;
13/08/2019 Scoping",,,,,,,,,,,,,13-Aug-19,"Rigghill Wind Farm Limited, which is jointly owned by ERG and Burcote, has submitted a Scoping Opinion report for the proposed 12 turbine Rihhhill wind farm in North Ayrshire.",RenewableUK comment
Riverside Business Park,3,onshore,,VG Energy Ltd,Landowner (private or company) (100%),Enercon,Enercon E115,1,3,Horizontal axis turbine,England,East Riding of Yorkshire,Yorkshire & Humber,"Storage Land South East Of Bayram Timber Limited, Gibson Lane, South Melton, Brough,  HU14 3HF",,East Riding of Yorkshire Council,16/02612/EIASCO,53.7093,-0.53832,SE 96576 24646,72,130,115.7,Development,Scoping Opinion Issued,09-Sep-16,,,,,,,,,,,"09/09/2016 Scoping Opinion Issued ;
28/07/2016 Scoping ;
05/11/2015 Development",,,,,,,,,,,,,28-Jul-16,"VG Energy have submitted a Scoping Opinion Request for a wind turbine development at Riverside Business Park, Brough, East Riding of Yorkshire",RenewableUK comment
Rothiesholm Head,28,onshore,,North Wind Associates Ltd,North Wind Associates Ltd (100%),,,8,3.5,,Scotland,Orkney,Scotland,Stronsay,,Orkney Islands Council,18/246/SCO,59.0834,-2.66086,HY 62223 22015,,125,,Development,Scoping Opinion Issued,12-Sep-18,,,,,,,,,,,"12/09/2018 Scoping Opinion Issued ;
18/06/2018 Scoping",,,,,,,,,,,,,12-Sep-18,Orkney Islands Council has determined that an EIA is required to support an application for eight wind turbines at Rothiesholm Head.,RenewableUK comment
Rottenyard Farm,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,East Ayrshire,Scotland,"Cumnock, KA18 4PW",,East Ayrshire Council,18/0019/EIASCR,55.4156,-4.19232,NS 61320 15708,,135,,Development,Scoping Opinion Issued,05-Dec-18,,,,,,,,,,,"05/12/2018 Scoping Opinion Issued ;
01/11/2018 Scoping",,,,,,,,,,,,,05-Dec-18,East Ayrshire Council have decided that an EIA is required to support an application for a single wind turbine at Rottenyard Farm.,RenewableUK comment
Sallachy,33,onshore,,WKN GmbH,WKN GmbH (100%),,,11,3,,Scotland,Highland,Scotland,NW shore of Loch Shin,,Highland Council,11/04718/S36,58.1361,-4.74028,NC 38761 19630,85,125,,Development,Development,19-Apr-19,,,,,,,,,,,"19/04/2019 Development ;
17/11/2015 Refused ;
19/12/2011 Submitted (S36)",19-Dec-11,(S36) ,17-Nov-15,Refused (S36) ,,,,,,,,,19-Apr-19,WKN are undertaking re-assessment work for a revised application for Sallachy wind farm.,http://www.sallachywindfarm.co.uk/the-proposal/
Sandyhillock,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,Moray,Scotland,Land At Sandyhillock Craigellachie Moray,,Moray Council,18/01430/SCN,57.4996,-3.26347,NJ 24378 46188,,135,,Development,Scoping Opinion Issued,26-Nov-18,,,,,,,,,,,"26/11/2018 Scoping Opinion Issued ;
02/11/2018 Scoping",,,,,,,,,,,,,26-Nov-18,"Moray Council have issued a screening opinion for a single 135m turbine on land at Sandyhillock, Craigellachie.",RenewableUK comment
Scoop Hill,560,onshore,,Community Windpower Ltd,Community Windpower Ltd (100%),,,80,7,,Scotland,Dumfries & Galloway,Scotland,"5km South East of Moffat, 11km North of Lockerbie",,Dumfries & Galloway Council,ECU00000533,55.2575,-3.31533,NY 16498 96716,,200,,Development,Scoping,08-Dec-17,,,,,,,,,,,08/12/2017 Scoping,,,,,,,,,,,,,08-May-19,"The Scottish Government has published a Scoping report submitted by Community Wind Power for its proposed Scoop Hill wind farm. The scoping opinion report proposes a wind farm with 80 turbines, up to 7MW each and tip heights of up to 200m.",RenewableUK comment
Sheirdrim,100,onshore,,ScottishPower Renewables,ScottishPower Renewables (100%),,,26,3.85,,Scotland,Argyll & Bute,Scotland,"10km South West of Tarbet, 1.3km East of Clachan.",,Argyll and Bute Council,ECU00001809,55.7577,-5.48706,NR 81302 57098,,149.9,,Development,Scoping,05-Apr-19,,,,,,,,,storage,storage: Sheirdrim Battery Storage [Scoping] ?MW,05/04/2019 Scoping,,,,,,,,,,,,,05-Apr-19,ScottishPower Renewables has submitted a Scoping Opinion Request to the Scottish Governement Energy and Consents Unit for the development of Sheirdrim Renewable Energy Development. The proposed development is anticipated to comprise approximately 26 wind turbines with tip heights up to 149.9m with consideration for solar photovoltaic and battery storage.,RenewableUK comment
Skaill,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,Caithness,Scotland,"3/5 Skaill, KW14 7YD.",,Highland Council,18/05166/SCRE,58.5756,-3.66088,ND 03510 66478,,135,,Development,Scoping Opinion Issued,11-Jan-19,,,,,,,,,,,"11/01/2019 Scoping Opinion Issued ;
30/11/2018 Scoping ;
28/11/2018 Scoping Opinion Issued ;
07/11/2018 Scoping",,,,,,,,,,,,,11-Jan-19,"The Highland Council has decided that an EIA is required to support a planning application for a single 135m turbine at Skaill, Thurso.",RenewableUK comment
